;Neighborhood_FID;Land_Value;Area_Types;Area_Count;City_Name
0;1;1811.5;MixedUseArea_Residential;20;Bremen
1;2;1314.3;Residential_SpecialUseArea;3;Bremen
2;3;1623.7;Residential;2;Bremen
3;4;172.7;CommercialBuildingArea_Residential;7;Bremen
4;5;90.3;CommercialBuildingArea_Residential;3;Bremen
5;6;60.0;CommercialBuildingArea;1;Bremen
6;7;1243.5;CommercialBuildingArea_Residential;5;Bremen
7;8;657.9;Residential;2;Bremen
8;9;822.0;Residential;2;Bremen
9;10;769.7;Residential;2;Bremen
10;11;634.7;Residential;3;Bremen
11;12;765.2;Residential;4;Bremen
12;13;129.7;CommercialBuildingArea_OtherArea_Residential;4;Bremen
13;14;218.7;CommercialBuildingArea_OtherArea_Residential;16;Bremen
14;15;278.6;AgriculturalArea_CommercialBuildingArea_OtherArea_Residential;10;Bremen
15;16;295.3;CommercialBuildingArea_Residential;7;Bremen
16;17;206.5;CommercialBuildingArea_Residential;8;Bremen
17;18;247.1;Residential;4;Bremen
18;19;200.7;AgriculturalArea_CommercialBuildingArea_Residential;5;Bremen
19;20;207.1;Residential;3;Bremen
20;21;207.0;Residential;2;Bremen
21;22;221.9;Residential;2;Bremen
22;23;320.1;CommercialBuildingArea_OtherArea_Residential;6;Bremen
23;24;230.0;Residential;1;Bremen
24;25;71.8;CommercialBuildingArea_OtherArea_Residential;3;Bremen
25;26;61.8;AgriculturalArea_CommercialBuildingArea_Residential;3;Bremen
26;27;1400.0;Residential;1;Bremen
27;28;1040.0;Residential;1;Bremen
28;29;858.1;OtherArea_Residential;3;Bremen
29;30;849.1;Residential;2;Bremen
30;31;562.7;CommercialBuildingArea_OtherArea_Residential;4;Bremen
31;32;790.0;Residential;1;Bremen
32;33;1120.0;Residential;1;Bremen
33;34;590.0;Residential;2;Bremen
34;35;596.6;Residential;2;Bremen
35;36;790.0;Residential;1;Bremen
36;37;676.0;Residential;3;Bremen
37;38;348.4;CommercialBuildingArea_Residential;4;Bremen
38;39;245.0;Residential;1;Bremen
39;40;230.3;CommercialBuildingArea_Residential;2;Bremen
40;41;235.0;Residential;1;Bremen
41;42;492.7;OtherArea_Residential;5;Bremen
42;43;341.8;CommercialBuildingArea_ForestryArea_OtherArea_Residential;4;Bremen
43;44;339.5;CommercialBuildingArea_Residential;6;Bremen
44;45;317.2;AgriculturalArea_Residential;7;Bremen
45;46;270.0;Residential;1;Bremen
46;47;231.2;Residential;3;Bremen
47;48;223.0;Residential;3;Bremen
48;49;222.0;CommercialBuildingArea_Residential;5;Bremen
49;50;240.0;Residential;1;Bremen
50;51;235.7;CommercialBuildingArea_Residential;9;Bremen
51;52;385.9;CommercialBuildingArea_OtherArea_Residential;6;Bremen
52;53;197.7;AgriculturalArea_CommercialBuildingArea_Residential;7;Bremen
53;54;217.3;CommercialBuildingArea_Residential;3;Bremen
54;55;211.9;CommercialBuildingArea_OtherArea_Residential;4;Bremen
55;56;70.0;Residential;1;Bremen
56;57;800.0;Residential;1;Bremen
57;58;792.0;Residential_SpecialUseArea;2;Bremen
58;59;595.0;Residential;2;Bremen
59;60;7.1;CommercialBuildingArea_OtherArea;3;Bremen
60;61;455.0;Residential;1;Bremen
61;62;464.5;Residential;2;Bremen
62;63;462.9;Residential;2;Bremen
63;64;457.8;OtherArea_Residential;3;Bremen
64;65;455.0;Residential;1;Bremen
65;66;50.2;CommercialBuildingArea_OtherArea_Residential;5;Bremen
66;67;347.0;CommercialBuildingArea_Residential;5;Bremen
67;68;352.7;Residential;2;Bremen
68;69;308.6;Residential;3;Bremen
69;70;269.7;Residential;4;Bremen
70;72;197.8;CommercialBuildingArea_Residential_SpecialUseArea;6;Bremen
71;73;181.0;AgriculturalArea_CommercialBuildingArea_Residential;5;Bremen
72;74;26.9;AgriculturalArea_Residential;3;Bremen
73;75;181.8;CommercialBuildingArea_Residential;4;Bremen
74;76;207.9;Residential;2;Bremen
75;77;209.4;Residential;3;Bremen
76;78;273.9;MixedUseArea_Residential;12;Bremen
77;79;175.3;CommercialBuildingArea_Residential;4;Bremen
78;80;192.6;OtherArea_Residential;4;Bremen
79;81;168.2;Residential;2;Bremen
80;82;167.6;Residential;2;Bremen
81;83;139.8;CommercialBuildingArea_Residential;6;Bremen
82;84;134.2;CommercialBuildingArea_Residential;2;Bremen
83;85;132.4;AgriculturalArea_Residential;3;Bremen
84;86;108.8;CommercialBuildingArea_Residential;4;Bremen
85;87;111.2;Residential;2;Bremen
86;88;342.2;AgriculturalArea_Residential;12;Bremen
